,Country,YEAR1,GDPG,GDP,BB,INFL,SACW,GOVC,ETHNF,ASSAS,ICRGE,M2-1,SSA,EASIA,LPOP,EGYPT,CENTAM,FRZ,ARMS-1,DN1900,EDA,BEDA,MEDA,WBEDA,POPDEP
1100,TUNISIA,1970-73,5.576342727912542,1442.0,-1.1876453141800372,,0.0,15.561710640738516,16.0,0.0,4.591146,33.401258652959854,0,0,15.47729753226725,0.0,0.0,0.0,1.567,0,2.53868447032716,2.1569487779446717,0.3817356923824879,0.00943523339216445,96.812675
1101,TUNISIA,1974-77,4.30738752891382,1880.0,-2.925377985038,,0.0,14.796291698110775,16.0,0.0,4.591146,34.09261443548323,0,0,15.55543623588544,0.0,0.0,0.0,1.85,0,1.8971943530130948,1.5995379229552316,0.2976564300578631,0.05474848641191149,89.210775
1102,TUNISIA,1978-81,3.756225295047466,2295.0,-3.545004375146238,,0.0,15.204580426855621,16.0,0.0,4.591146,38.51867723224703,0,0,15.656194706123769,0.0,0.0,0.0,1.2,0,1.1661197403940597,1.0226279110814136,0.14349182931264623,0.004432375535797386,84.47093333333333
1103,TUNISIA,1982-85,1.4475988102214288,2597.0,-6.042343454719863,7.764686636156126,0.0,16.60507570442479,16.0,0.0,4.591146,41.87150915858972,0,0,15.751626831783744,0.0,0.0,0.0,2.325,0,0.8428609699767408,0.6914970065021171,0.15136396347462372,-0.015806492643379185,76.7757
1104,TUNISIA,1986-89,-0.5978126572370623,2685.0,-5.003086102654145,7.073111018961309,0.25,16.625020242101638,16.0,0.0,4.591146,44.83826498741165,0,0,15.845316969216213,0.0,0.0,0.0,4.75,0,0.9772894818326592,0.8357734804212387,0.1415160014114206,-0.06749194844864562,
1105,TUNISIA,1990-93,2.9426532704618813,2910.0,-4.030508632019697,5.943493914644993,1.0,16.248698356940295,16.0,0.0,4.591146,50.11808444589468,0,0,15.93900696280862,0.0,0.0,0.0,1.65,0,0.9005392421275046,0.7400408348336823,0.1604984072938221,-0.039548668290251,72.87320000000001
1106,TURKEY,1966-69,4.111369527722486,1989.0,-2.4102644943876883,4.694370298644168,0.0,12.37074765606077,,,,,0,0,,,,,,1,,,,,
1107,TURKEY,1970-73,3.1081083853673253,2202.0,-2.4998662166031553,11.678289224040478,0.0,12.68284521210346,25.0,0.25,5.263021,,0,0,17.41788600635401,0.0,0.0,0.0,29.3,1,0.3092611264818611,0.23559726631583072,0.07366386016603031,-0.0009301613328278953,82.6747
1108,TURKEY,1974-77,5.072837616025261,2658.0,-2.820495300065017,18.055312801221156,0.0,12.498392969335049,25.0,0.25,5.263021,,0,0,17.514759190845908,0.0,0.0,0.0,16.4,1,0.10801697577994716,0.07027785235798796,0.0377391234219592,0.010035809147798981,80.4028
1109,TURKEY,1978-81,-0.9150029132749982,3052.0,-4.040181920801964,47.24468559792504,0.0,12.66676721764702,25.0,3.5,5.263021,,0,0,17.600464104572378,0.0,0.0,0.0,5.15,1,0.2930093549771155,0.264499443973226,0.028509911003889554,0.005368666032573326,78.22704999999999
1110,TURKEY,1982-85,2.29925444028809,2868.0,-7.200061682220922,32.694515423048614,0.0,9.694137831313054,25.0,0.25,5.263021,,0,0,17.69735782088236,0.0,0.0,0.0,3.875,1,0.1882299338904297,0.20847440475538043,-0.020244470864950716,-0.03463535097212409,71.292675
1111,TURKEY,1986-89,3.0245356183350225,3299.0,-3.157806040773656,41.69235790619239,0.25,7.806867441986098,25.0,0.0,5.263021,,0,0,17.78880315364258,0.0,0.0,0.0,4.975,1,0.09157114174346542,0.1067796944915283,-0.015208552748062883,-0.030925481474675734,66.1757
1112,TURKEY,1990-93,3.784900759179033,3741.0,-4.832378132257338,50.42618266548684,1.0,11.547226315439131,25.0,3.25,5.263021,28.692089895996464,0,0,17.87286258945653,0.0,0.0,0.0,7.325,1,0.3280785161057293,0.31911171946004885,0.008966796645680536,-0.011044167969266796,63.904725
1113,TURKMENISTAN,1966-69,1.1426888339201913,,,,,,,,,,0,0,,,,,,0,,,,,
1114,TURKMENISTAN,1970-73,4.084220744845002,,,,,,,,,,0,0,,,,,,0,,,,,
1115,TURKMENISTAN,1974-77,1.9898230971960418,,,,,,,,,,0,0,,,,,,0,,,,,
1116,TURKMENISTAN,1978-81,-0.6354640318852356,,,,,,,,,,0,0,,,,,,0,,,,,
1117,TURKMENISTAN,1982-85,1.0770247933291843,,,,,,,,,,0,0,,,,,,0,,,,,
1118,TURKMENISTAN,1986-89,1.071134891916703,,,,,21.791163716831903,,,,,0,0,,,,,,0,,,,,
1119,TURKMENISTAN,1990-93,-5.64796014127292,,,,,22.705478593629003,,,,,0,0,,,,,,0,,,,,
1120,UGANDA,1966-69,,644.0,,,0.0,,,,,,0,0,,,,,,0,,,,,
1121,UGANDA,1970-73,,647.0,-6.491413425977839,,0.0,,,,,,0,0,,,,,,0,0.9458513007870286,0.8112825638019563,0.13456873698507232,0.012046051063750795,
1122,UGANDA,1974-77,,627.0,-5.587834328142409,,0.0,,,,,,0,0,,,,,,0,0.5462726077770835,0.34503392349123807,0.20123868428584538,0.021458770161616014,
1123,UGANDA,1978-81,,574.0,-2.6559584910635343,73.59157277403352,0.0,,,,,,0,0,,,,,,0,0.9410667701079514,0.4713591285808962,0.46970764152705513,0.03241902804260906,
1124,UGANDA,1982-85,-4.5705719871405925,978.0,-2.8800056780435273,47.95893397822414,0.0,11.732758248008391,,,,,0,0,,,,,,0,1.5208292905498564,0.494272278008936,1.0265570125409205,0.5017695173487654,
